persistence,rho,delay,seed,decision,alpha_m,transitions_before,persistence_upper,certified_upper,covered_so_far,remaining_before,block_budget,gap,num_agents,eta,updates,observations,exact_radius
0.9,0.9,2,91,5,0.0003333333333333333,5977,0.9134830084028152,0.914,True,11872,2000,20,1,0.027794828026792902,68,1388,0.9643968374970973
0.9,0.9,2,91,6,0.0002380952380952381,7365,0.9138040161034454,0.914,True,9872,2000,20,1,0.027801322170087277,68,1388,0.9643887593138506
0.9,0.9,2,91,7,0.00017857142857142857,8753,0.9141610414881698,0.915,True,7872,2000,20,1,0.027677010832124024,68,1388,0.9645434165888686
0.9,0.9,2,91,8,0.0001388888888888889,10141,0.9121184708110102,0.913,True,5872,2000,20,1,0.02791347428842444,68,1388,0.9642492732167576
0.9,0.9,2,91,9,0.00011111111111111112,11529,0.9122539532242603,0.913,True,3872,2000,19,1,0.027375559820478176,71,1361,0.9649260356433732
0.9,0.9,2,91,10,9.090909090909092e-05,12890,0.9124419908119596,0.913,True,1872,1872,22,1,0.028536257839959913,60,1332,0.963463947613656
0.9,0.9,2,92,1,0.005,128,0.9445733133777234,0.945,True,19872,2000,29,1,0.026560252832724975,52,1532,0.9659114422948657
0.9,0.9,2,92,2,0.0016666666666666668,1660,0.9193334453211102,0.92,True,17872,2000,22,1,0.027905762183586206,64,1424,0.9642478867522022
0.9,0.9,2,92,3,0.0008333333333333334,3084,0.9175504260653601,0.918,True,15872,2000,20,1,0.027236127531486423,68,1388,0.9650923338333747
0.9,0.9,2,92,4,0.0005,4472,0.9154825960636752,0.916,True,13872,2000,19,1,0.026967719247500566,71,1361,0.9654339595684516
0.9,0.9,2,92,5,0.0003333333333333333,5833,0.917446607531535,0.918,True,11872,2000,22,1,0.02818458477413912,64,1424,0.9639010457371747
0.9,0.9,2,92,6,0.0002380952380952381,7257,0.916152093469375,0.917,True,9872,2000,20,1,0.02740878177669369,68,1388,0.9648772966726505
0.9,0.9,2,92,7,0.00017857142857142857,8645,0.9150533718816689,0.916,True,7872,2000,20,1,0.027545948855199405,68,1388,0.9647065274667862
0.9,0.9,2,92,8,0.0001388888888888889,10033,0.9152376324339362,0.916,True,5872,2000,20,1,0.027536539261733467,68,1388,0.9647182401803794
0.9,0.9,2,92,9,0.00011111111111111112,11421,0.9130874483611722,0.914,True,3872,2000,19,1,0.027237858022109637,71,1361,0.9650974682438378
0.9,0.9,2,92,10,9.090909090909092e-05,12782,0.9133406257636105,0.914,True,1872,1872,22,1,0.028444835081685153,60,1332,0.9635775385682592
0.9,0.9,2,93,1,0.005,128,0.9390717838608685,0.94,True,19872,2000,29,1,0.027597396593680698,52,1532,0.9646168668300654
0.9,0.9,2,93,2,0.0016666666666666668,1660,0.9236692611374306,0.924,True,17872,2000,21,1,0.026838182647085138,66,1406,0.9655827144075207
0.9,0.9,2,93,3,0.0008333333333333334,3066,0.9176632593101275,0.918,True,15872,2000,20,1,0.027236127531486423,68,1388,0.9650923338333747
