policy,scenario,max_delay,budget,mean_mse,standard_error
adaptive_probe,independent,4,15200.0,0.00031270692844790346,5.381082015705089e-05
adaptive_probe,independent,4,15360.0,0.00033321112792295677,5.529514195406345e-05
adaptive_probe,independent,4,15520.0,0.0003579453930018969,6.045428933276181e-05
adaptive_probe,independent,4,15680.0,0.00035406883048749613,6.363701700963253e-05
adaptive_probe,independent,4,15840.0,0.0003552042167273213,6.299596485385469e-05
adaptive_probe,independent,4,16000.0,0.00030393101009716314,6.190712144225635e-05
adaptive_probe,independent,16,0.0,1.0,0.0
adaptive_probe,independent,16,160.0,0.8458310870258169,0.0017600997421803484
adaptive_probe,independent,16,320.0,0.7086578481179651,0.0027206733766664977
adaptive_probe,independent,16,480.0,0.5636291012850562,0.002777539131771657
adaptive_probe,independent,16,640.0,0.4655839070573037,0.002862448762393973
adaptive_probe,independent,16,800.0,0.36541231968734966,0.0030027062980358
adaptive_probe,independent,16,960.0,0.2994079889207345,0.0027788870507061266
adaptive_probe,independent,16,1120.0,0.23567457004968784,0.0024690486601240966
adaptive_probe,independent,16,1280.0,0.1948874210109958,0.0023520040137382982
adaptive_probe,independent,16,1440.0,0.1533279656248236,0.002161093072553054
adaptive_probe,independent,16,1600.0,0.12713303124143882,0.0022666294237651246
adaptive_probe,independent,16,1760.0,0.10537632639378058,0.0019837101686022746
adaptive_probe,independent,16,1920.0,0.08342515255972394,0.0016882335709848104
adaptive_probe,independent,16,2080.0,0.06925386600204723,0.0016357883157456124
adaptive_probe,independent,16,2240.0,0.05533329643289793,0.001484464812888074
adaptive_probe,independent,16,2400.0,0.045868772440443885,0.0013937099736487015
adaptive_probe,independent,16,2560.0,0.036016165736792796,0.001256516479473159
adaptive_probe,independent,16,2720.0,0.029901562757170198,0.0010470901035918557
adaptive_probe,independent,16,2880.0,0.023257006468363196,0.0008609449411743725
adaptive_probe,independent,16,3040.0,0.021334659043004495,0.0008009965013251176
adaptive_probe,independent,16,3200.0,0.019624538219265384,0.0007370674246517027
adaptive_probe,independent,16,3360.0,0.0177699577068482,0.0006825325059227483
adaptive_probe,independent,16,3520.0,0.016187841105904096,0.0006375765820970009
adaptive_probe,independent,16,3680.0,0.014707720712141251,0.000611871093814554
adaptive_probe,independent,16,3840.0,0.013640753284564936,0.0005724235573919376
adaptive_probe,independent,16,4000.0,0.01260016737583292,0.0005599220363904666
adaptive_probe,independent,16,4160.0,0.011792612874620603,0.0005340776537374504
adaptive_probe,independent,16,4320.0,0.010724528723334499,0.0005610618434665861
adaptive_probe,independent,16,4480.0,0.009898853899751816,0.0005432204246558887
adaptive_probe,independent,16,4640.0,0.009207251044967014,0.0005110991724993325
adaptive_probe,independent,16,4800.0,0.008476850312763106,0.00046875038899128047
adaptive_probe,independent,16,4960.0,0.007818258308836899,0.00043110583532313134
adaptive_probe,independent,16,5120.0,0.007018876323168807,0.00039404867109206926
adaptive_probe,independent,16,5280.0,0.006547174230810459,0.000395204430181795
adaptive_probe,independent,16,5440.0,0.006113002930547096,0.0003841386128980993
