policy,persistence,rho,delay,seed,decision,covered_so_far,persistence_upper,rho_upper,certified_persistence,certified_rho,transition_trials,sharing_trials,q,gap,eta,updates,exact_radius
correlation_blind,0.98,0.0,2,21391231,1,True,0.9947865634437878,0.06276907731421694,0.996,0.0,1729,165,16,392,0.02641670392727732,4,0.965631369833425
correlation_blind,0.98,0.0,2,21391231,2,True,0.9891872347527542,0.04977553769707031,0.99,0.0,3601,177,2,156,0.026015212128952147,12,0.9663582802305034
correlation_blind,0.98,0.0,2,21391231,3,True,0.9854238752977309,0.046669445281753236,0.986,0.0,5397,197,2,112,0.02616442820537465,16,0.966188426909517
correlation_blind,0.98,0.0,2,21391231,4,True,0.9867198869769027,0.04229241764701981,0.988,0.0,7221,215,2,130,0.02603712804073409,14,0.9663377402449972
correlation_blind,0.98,0.0,2,21391231,5,True,0.9858615224693523,0.03901651862476428,0.986,0.0,8941,241,4,122,0.027543740067743495,14,0.9642984773492099
correlation_blind,0.98,0.0,2,21391231,6,True,0.9851747955004424,0.03510990618387136,0.986,0.0,10661,267,4,122,0.027532712128619925,14,0.964312557729423
correlation_blind,0.98,0.0,2,21391231,7,True,0.9844144850985515,0.03193141320339005,0.986,0.0,12457,287,2,112,0.026087922882300763,16,0.96628551112523
correlation_blind,0.98,0.0,2,21391231,8,True,0.9843401728942041,0.029861643153881824,0.986,0.0,14177,313,4,122,0.027481550225565,14,0.9643778837844179
correlation_blind,0.98,0.0,2,21391231,9,True,0.9843008789059444,0.027550067153974185,0.986,0.0,15897,339,4,122,0.027398415401644265,14,0.9644840448433272
correlation_blind,0.98,0.0,2,21391231,10,True,0.9835927581416235,0.02557882909793218,0.984,0.0,16537,344,8,128,0.029127434825839127,5,0.9621994562672561
dual_ucb,0.98,0.0,2,20391232,1,True,0.9993703412465136,0.06276907731421694,1.0,0.08,328,328,1,18721,0.0,0,1.0
dual_ucb,0.98,0.0,2,20391232,2,True,0.9952485710760997,0.026376301972316142,0.996,0.04,1929,365,16,392,0.026367492871667463,4,0.9656947333037432
dual_ucb,0.98,0.0,2,20391232,3,True,0.9889342306066666,0.023877365688664574,0.99,0.04,3647,393,4,170,0.02740340335939206,10,0.9644627943549267
dual_ucb,0.98,0.0,2,20391232,4,True,0.9895563158299356,0.022287088862741056,0.99,0.04,5519,406,2,170,0.027139001492649393,11,0.9649296856239757
dual_ucb,0.98,0.0,2,20391232,5,True,0.9877369919517731,0.021620408246353202,0.988,0.04,7367,421,2,142,0.027193231541859195,13,0.9648660049878828
dual_ucb,0.98,0.0,2,20391232,6,True,0.9868137266146417,0.020900338523067247,0.988,0.04,9081,443,8,142,0.027570953023332373,12,0.9641872356421962
dual_ucb,0.98,0.0,2,20391232,7,True,0.9858680453483921,0.019929096801831407,0.986,0.02,10877,463,2,112,0.026077008043847688,16,0.9662993629881235
dual_ucb,0.98,0.0,2,20391232,8,True,0.9854329451219774,0.019123243201286583,0.986,0.02,12597,489,4,122,0.02746203919652258,14,0.9644027977182776
dual_ucb,0.98,0.0,2,20391232,9,True,0.9852687555813551,0.018170555054695545,0.986,0.02,14317,515,4,122,0.027374079476587432,14,0.9645151236323475
