seed,rho,delay,num_agents,updates,teacher_mse,maximum_loss,finite
20270711,0.5,8,4,941,0.0136275636032223,4.066290855407715,True
20270711,0.5,8,16,800,0.0312041565775871,5.188315391540527,True
20270711,0.5,8,32,666,0.183347076177597,4.39212703704834,True
20270711,0.9,0,1,984,0.0334235168993473,5.962759017944336,True
20270711,0.9,0,4,941,0.0093980338424444,5.966541290283203,True
20270711,0.9,0,16,800,0.0485301986336708,5.955839157104492,True
20270711,0.9,0,32,666,0.2893554270267486,5.965636730194092,True
20270711,0.9,8,1,984,0.049111571162939,5.89191484451294,True
20270711,0.9,8,4,941,0.0248908996582031,5.897555828094482,True
20270711,0.9,8,16,800,0.0535425320267677,6.024033069610596,True
20270711,0.9,8,32,666,0.2700888216495514,5.894168853759766,True
20270712,0.0,0,1,984,0.837171196937561,4.923022270202637,True
20270712,0.0,0,4,941,0.0814286395907402,2.1719634532928467,True
20270712,0.0,0,16,800,0.0266725700348615,1.2248234748840332,True
20270712,0.0,0,32,666,0.0108781503513455,0.9401198029518129,True
20270712,0.0,8,1,984,0.5083646178245544,5.218621730804443,True
20270712,0.0,8,4,941,0.219355821609497,2.209362030029297,True
20270712,0.0,8,16,800,0.0526931174099445,1.229660153388977,True
20270712,0.0,8,32,666,0.0134954340755939,0.9387953877449036,True
20270712,0.25,0,1,984,0.3698828816413879,4.939079284667969,True
20270712,0.25,0,4,941,0.0245583243668079,3.3861289024353027,True
20270712,0.25,0,16,800,0.0052222795784473,2.837580919265747,True
20270712,0.25,0,32,666,0.0689222738146781,2.906599998474121,True
20270712,0.25,8,1,984,0.1989629715681076,5.017636775970459,True
20270712,0.25,8,4,941,0.1097644716501236,3.365813732147217,True
20270712,0.25,8,16,800,0.0320409014821052,2.821293592453003,True
20270712,0.25,8,32,666,0.0828988701105117,2.937199592590332,True
20270712,0.5,0,1,984,0.044703621417284,5.517468929290772,True
20270712,0.5,0,4,941,0.0473979040980339,3.942889213562012,True
20270712,0.5,0,16,800,0.0192052870988845,3.6846022605896,True
20270712,0.5,0,32,666,0.1139172166585922,3.775749921798706,True
20270712,0.5,8,1,984,0.1615088731050491,5.632751941680908,True
20270712,0.5,8,4,941,0.010544029995799,3.9941563606262207,True
20270712,0.5,8,16,800,0.0580643154680728,3.56594467163086,True
20270712,0.5,8,32,666,0.1424541473388672,3.83328914642334,True
20270712,0.9,0,1,984,0.0141245424747467,5.209132194519043,True
20270712,0.9,0,4,941,0.0828780978918075,5.21131706237793,True
20270712,0.9,0,16,800,0.01222615968436,4.853442668914795,True
20270712,0.9,0,32,666,0.1758048236370086,4.719412803649902,True
20270712,0.9,8,1,984,0.0815775468945503,5.209859371185303,True
20270712,0.9,8,4,941,0.0373956970870494,5.284139633178711,True
20270712,0.9,8,16,800,0.0294517390429973,4.661868572235107,True
20270712,0.9,8,32,666,0.199200838804245,4.808526992797852,True
20270713,0.0,0,1,984,0.3433023393154144,4.402022838592529,True
20270713,0.0,0,4,941,0.0555008463561534,2.237525701522827,True
20270713,0.0,0,16,800,0.0366062894463539,1.3028168678283691,True
20270713,0.0,0,32,666,0.0365028195083141,0.968624472618103,True
20270713,0.0,8,1,984,0.2854147851467132,4.2706804275512695,True
20270713,0.0,8,4,941,0.0918206423521041,2.344313859939575,True
20270713,0.0,8,16,800,0.0379156954586505,1.305393099784851,True
20270713,0.0,8,32,666,0.0288046021014451,0.9659635424613952,True
20270713,0.25,0,1,984,0.0821432173252105,5.443505764007568,True
20270713,0.25,0,4,941,0.0490208826959133,3.846881151199341,True
20270713,0.25,0,16,800,0.0920143276453018,3.5244648456573486,True
20270713,0.25,0,32,666,0.0826750844717025,2.4554121494293213,True
20270713,0.25,8,1,984,0.0928735584020614,5.494736671447754,True
20270713,0.25,8,4,941,0.0507196485996246,3.968601942062378,True
20270713,0.25,8,16,800,0.2078798860311508,3.587249755859375,True
20270713,0.25,8,32,666,0.1350206732749939,2.497734308242798,True
20270713,0.5,0,1,984,0.0950772017240524,5.008995056152344,True
20270713,0.5,0,4,941,0.0933688431978225,3.868787288665772,True
20270713,0.5,0,16,800,0.0752017125487327,4.301859378814697,True
20270713,0.5,0,32,666,0.1192308738827705,3.5163111686706543,True
20270713,0.5,8,1,984,0.2023776769638061,4.900952339172363,True
20270713,0.5,8,4,941,0.1108366698026657,3.948221445083618,True
20270713,0.5,8,16,800,0.1877427548170089,4.16780424118042,True
20270713,0.5,8,32,666,0.220730572938919,3.58818793296814,True
20270713,0.9,0,1,984,0.1018024086952209,5.016540050506592,True
20270713,0.9,0,4,941,0.1252369880676269,4.664517879486084,True
20270713,0.9,0,16,800,0.2233547568321228,4.718416213989258,True
20270713,0.9,0,32,666,0.1187343895435333,4.919262409210205,True
20270713,0.9,8,1,984,0.1150566786527633,5.167275428771973,True
20270713,0.9,8,4,941,0.2278258800506591,4.651249885559082,True
20270713,0.9,8,16,800,0.4975462257862091,4.849774360656738,True
20270713,0.9,8,32,666,0.2963544726371765,5.053301334381104,True
20270714,0.0,0,1,984,0.0645593255758285,7.528858184814453,True
20270714,0.0,0,4,941,0.0780293121933937,2.337981700897217,True
20270714,0.0,0,16,800,0.0061445422470569,1.2661526203155518,True
20270714,0.0,0,32,666,0.0099053774029016,0.9385949969291688,True
20270714,0.0,8,1,984,0.0152666382491588,7.401552200317383,True
20270714,0.0,8,4,941,0.061233852058649,2.3218276500701904,True
20270714,0.0,8,16,800,0.0118863200768828,1.271028757095337,True
20270714,0.0,8,32,666,0.0134151531383395,0.9400869607925416,True
20270714,0.25,0,1,984,0.0605726912617683,5.665195465087891,True
20270714,0.25,0,4,941,0.0178374350070953,4.602874279022217,True
20270714,0.25,0,16,800,0.0085139721632003,3.122847557067871,True
20270714,0.25,0,32,666,0.0160360150039196,2.7012124061584477,True
20270714,0.25,8,1,984,0.0788272321224212,5.444345474243164,True
20270714,0.25,8,4,941,0.0116217229515314,4.696871757507324,True
20270714,0.25,8,16,800,0.0067392801865935,3.123727798461914,True
20270714,0.25,8,32,666,0.0078936759382486,2.7243800163269043,True
